# timestamp(s) tx ty tz qx qy qz qw Pr11 Pr12 Pr13 Pr22 Pr23 Pr33 Pt11 Pt12 Pt13 Pt22 Pt23 Pt33
345680.40000 1.933124 1.717595 0.380230 0.048947 -0.042035 -0.997232 0.036953 0.0011217964 -0.0000000001 -0.0000000001 0.0011217966 0.0000000002 0.0011217965 0.0010121565 -0.0000000004 0.0000001186 0.0010121631 0.0000000066 0.0010100312
345680.50000 1.903445 2.061989 0.451498 0.057650 -0.039020 -0.996577 0.044585 0.0012664886 -0.0000000013 -0.0000000010 0.0012664925 0.0000000033 0.0012664907 0.0010802275 -0.0000000073 0.0000020622 0.0010803430 0.0000001290 0.0010436639
345680.60000 1.868415 2.405956 0.519933 0.065637 -0.034692 -0.995868 0.052299 0.0014312185 -0.0000000076 -0.0000000061 0.0014312369 0.0000000169 0.0014312291 0.0012981906 -0.0000000412 0.0000108754 0.0012987999 0.0000007316 0.0011055324
345680.70000 1.827981 2.749461 0.585031 0.073183 -0.030713 -0.995019 0.060323 0.0016159925 -0.0000000262 -0.0000000216 0.0016160459 0.0000000527 0.0016160248 0.0018307015 -0.0000001425 0.0000355889 0.0018326981 0.0000025248 0.0012015178
345680.80000 1.798260 3.085841 0.645731 0.073459 -0.021636 -0.994759 0.067751 0.0012330822 0.0000947916 -0.0000265046 0.0012533271 0.0000375282 0.0011851665 0.0028112128 -0.0000442271 0.0000785511 0.0027728176 -0.0000066830 0.0013364274
345680.90000 1.749334 3.423962 0.704161 0.082073 -0.015318 -0.993522 0.077090 0.0012109605 0.0001203471 0.0000000684 0.0012012334 0.0000821908 0.0011575659 0.0044128640 -0.0001250376 0.0001067453 0.0044641076 0.0000042843 0.0015172472
345681.00000 1.707352 3.796051 0.765323 0.082084 -0.017822 -0.992605 0.087638 0.0008960335 0.0002048070 -0.0000670290 0.0011450837 0.0001797220 0.0010679838 0.0068828962 -0.0004023702 0.0001381777 0.0049590549 -0.0003055026 0.0016995362
345681.10000 1.653309 4.172162 0.823430 0.085318 -0.019189 -0.992718 0.082852 0.0006450568 0.0000954236 -0.0000312108 0.0008998907 0.0003487508 0.0007215676 0.0082341309 -0.0004999721 0.0002516803 0.0065386106 -0.0006762312 0.0019647179
345681.20000 1.503626 4.546929 0.861930 0.102690 -0.017035 -0.990097 0.094197 0.0005833236 0.0000576941 -0.0000188514 0.0008263091 0.0003457191 0.0007048127 0.0111568467 -0.0004423703 0.0003949775 0.0089413931 -0.0010153890 0.0023263091
345681.30000 1.419928 4.834138 0.908704 0.105425 -0.003887 -0.988180 0.111224 0.0004475203 0.0000113797 -0.0000276269 0.0004866339 0.0002807295 0.0005671028 0.0085416788 -0.0007110871 0.0007227586 0.0095390813 -0.0012575098 0.0027359899
345681.40000 1.354474 5.155424 0.909512 0.101922 0.006999 -0.987803 0.117509 0.0003988978 0.0000011204 -0.0000116189 0.0004146257 0.0002382738 0.0005437357 0.0094967092 -0.0005999757 0.0007908398 0.0112958647 -0.0017885612 0.0029546382
345681.50000 1.232565 5.454970 0.938849 0.103984 0.015470 -0.986103 0.128642 0.0003571992 -0.0000080537 -0.0000034618 0.0003318021 0.0001741966 0.0004982444 0.0097401060 -0.0007599597 0.0009171000 0.0132751561 -0.0023263236 0.0034246804
345681.60000 1.242773 5.762808 0.987351 0.096668 0.021152 -0.986451 0.130850 0.0000426855 -0.0000012526 -0.0000156704 0.0000519452 0.0000218862 0.0001421884 0.0035788455 0.0002616913 0.0000718758 0.0020429302 -0.0000844725 0.0017170103
345681.70000 1.150588 6.091192 1.006608 0.094209 0.026473 -0.985659 0.137477 0.0001042268 -0.0000582556 -0.0000268298 0.0001097627 0.0000336570 0.0001493221 0.0040170180 0.0002362560 0.0000717325 0.0022151701 -0.0001245793 0.0018416063
345681.80000 1.052457 6.417481 1.019740 0.090343 0.031731 -0.984681 0.145720 0.0002280856 -0.0000623952 -0.0000282017 0.0002356517 0.0000347051 0.0002724962 0.0045416009 0.0002851584 0.0000856831 0.0024466863 -0.0001722742 0.0020154289
345681.90000 0.952275 6.735014 1.027616 0.087375 0.036835 -0.983413 0.154621 0.0000458948 -0.0000030430 -0.0000110931 0.0000541840 0.0000181257 0.0001473966 0.0050583967 0.0003819905 0.0000948431 0.0026792570 -0.0002237575 0.0022218507
