# timestamp(s) tx ty tz qx qy qz qw Pr11 Pr12 Pr13 Pr22 Pr23 Pr33 Pt11 Pt12 Pt13 Pt22 Pt23 Pt33
234569.40000 0.936175 1.639528 0.380241 0.048947 -0.042035 -0.997232 0.036953 0.0011217964 -0.0000000001 -0.0000000001 0.0011217966 0.0000000002 0.0011217965 0.0010121565 -0.0000000003 0.0000001132 0.0010121625 0.0000000063 0.0010100306
234569.50000 0.907844 1.968271 0.451511 0.057650 -0.039020 -0.996577 0.044585 0.0012664886 -0.0000000013 -0.0000000010 0.0012664925 0.0000000033 0.0012664907 0.0010802276 -0.0000000066 0.0000019682 0.0010803328 0.0000001222 0.0010436535
234569.60000 0.874409 2.296613 0.519947 0.065637 -0.034692 -0.995868 0.052299 0.0014312185 -0.0000000076 -0.0000000061 0.0014312369 0.0000000169 0.0014312291 0.0012981899 -0.0000000373 0.0000103793 0.0012987449 0.0000006927 0.0011054776
234569.70000 0.835816 2.624518 0.585046 0.073183 -0.030713 -0.995019 0.060323 0.0016159925 -0.0000000262 -0.0000000216 0.0016160459 0.0000000527 0.0016160248 0.0018306969 -0.0000001287 0.0000339656 0.0018325157 0.0000023882 0.0012013378
234569.80000 0.790387 2.941933 0.645236 0.079896 -0.020389 -0.994239 0.068476 0.0009652826 0.0001553024 -0.0001058577 0.0012509039 0.0001019792 0.0011779967 0.0028017019 -0.0000491116 0.0000631468 0.0024988755 -0.0000412861 0.0013297182
234569.90000 0.784968 3.254198 0.703581 0.072488 -0.009921 -0.994075 0.080390 0.0008229400 0.0000614183 -0.0000167759 0.0010016285 0.0003274316 0.0008332892 0.0034884801 -0.0000179776 0.0000946717 0.0034360929 -0.0001182275 0.0014970992
234570.00000 0.731421 3.606270 0.758666 0.080277 -0.017055 -0.992602 0.089471 0.0006570895 -0.0000331375 0.0000084546 0.0008105303 0.0003237075 0.0008363671 0.0044583728 0.0003439436 0.0000649776 0.0046326368 -0.0002020192 0.0017169133
234570.10000 0.685657 3.932619 0.807702 0.083847 -0.011370 -0.991626 0.097566 0.0007964930 -0.0000300983 0.0000134219 0.0009660370 0.0003261991 0.0009828223 0.0069034710 0.0005810184 0.0001441860 0.0069854582 -0.0003762561 0.0020247405
234570.20000 0.597371 4.223212 0.851879 0.093368 -0.000720 -0.990544 0.100517 0.0005621484 0.0000048131 0.0000337526 0.0005697366 0.0003534595 0.0006478849 0.0073193294 -0.0000036579 0.0002668388 0.0091048612 -0.0005396442 0.0023611012
234570.30000 0.431249 4.562764 0.890236 0.106047 0.002255 -0.987461 0.116916 0.0004165848 -0.0000070630 -0.0000086903 0.0004888191 0.0003092560 0.0006134356 0.0081116447 -0.0000696063 0.0003754864 0.0080320963 -0.0009726948 0.0026251595
